Number,Title,Source,URL,Date
46,Arts receives gift for student scholarships,No Source,https://news.kennesaw.edu/stories/2018/dance_endowment.php,"September 20, 2018"
47,Historic Gift to KSU Baseball,No Source,https://news.kennesaw.edu/stories/2018/ksu_baseball_donation.php,"September 20, 2018"
48,Owls Unveil Challenging Schedule,No Source,https://news.kennesaw.edu/stories/2018/womens_basketball_2018.php,"September 20, 2018"
49,Kennesaw State Hosts 18th Annual Education Abroad Fair,No Source,https://news.kennesaw.edu/stories/2018/education_abroad_fair.php,"September 19, 2018"
50,Written by Whitten | An Owl Graduate Degree,No Source,http://president.kennesaw.edu/writtenbywhitten/posts/owl_graduate_degree.php,"September 18, 2018"
51,Atlanta Hawks CEO to speak at Kennesaw State,No Source,https://news.kennesaw.edu/stories/2018/tetley_lecture_atlanta-hawks.php,"September 17, 2018"
52,Constitution Week set for Sept. 17-25,No Source,https://news.kennesaw.edu/stories/2018/constitution_week_2018.php,"September 17, 2018"
53,KSU Athletics Offering Free Football Tickets to Hurricane Evacuees,No Source,https://news.kennesaw.edu/stories/2018/free-football-tix-for-evacuees.php,"September 13, 2018"
54,Hurricane threat moves Coastal Carolina's soccer game to Kennesaw State,No Source,https://news.kennesaw.edu/stories/2018/hurricane-moves-soccer-game-to-ksu.php,"September 12, 2018"
55,"Written by Whitten | Pass the Plank, Please",No Source,http://president.kennesaw.edu/writtenbywhitten/posts/pass_the_plank.php,"September 10, 2018"
56,Owls Set to Begin Fall Season at Prestigious Tournament,No Source,https://news.kennesaw.edu/stories/2018/tennis_southern_intercollegiate.php,"September 06, 2018"
57,Kennesaw State Announces Contract Extension For Volleyball Coach,No Source,https://news.kennesaw.edu/stories/2018/volleyball_contract_extension.php,"September 06, 2018"
58,Kennesaw State hosts John C. Salerno Memorial Research Symposium,No Source,https://news.kennesaw.edu/stories/2018/salerno_research_symposium.php,"September 05, 2018"
59,Recognized for Civic Engagement,No Source,https://news.kennesaw.edu/stories/2018/student_voting_recognition.php,"August 27, 2018"
60,Tickets Available for Football Game at SunTrust Park,No Source,https://news.kennesaw.edu/stories/2018/ksu_suntrust-park_game.php,"August 24, 2018"
61,Shore Entrepreneurship Center names first research director,No Source,https://news.kennesaw.edu/stories/2018/entrepreneurship_center_research.php,"August 08, 2018"
62,"Kennesaw State University to welcome nearly 36,000 students for fall semester",No Source,https://news.kennesaw.edu/stories/2018/kennesaw_state_move-in.php,"August 07, 2018"
63,Applications for Fall 2019 undergraduate admissions now open,No Source,https://news.kennesaw.edu/stories/2018/admissions_fall_2019.php,"August 06, 2018"
64,Chief Information Officer Named at Kennesaw State,No Source,https://news.kennesaw.edu/stories/2018/jeff-delaney-ksu-cio.php,"August 03, 2018"
65,Kennesaw State's Distance Learning Center recognized for advances in closed captioning,No Source,https://news.kennesaw.edu/stories/2018/closed_captioning_impact_award.php,"August 02, 2018"
66,KSU provost search committee named,No Source,https://news.kennesaw.edu/stories/2018/provost_search_committee.php,"July 25, 2018"
67,Kennesaw State president conducts her first Commencement,No Source,https://news.kennesaw.edu/stories/2018/summer_2018_commencement.php,"July 19, 2018"
